,fed_pos,fed_neg,w2v_pos,w2v_neg,w2v_refined_0_pos,w2v_refined_0_neg,w2v_refined_1_pos,w2v_refined_1_neg,w2v_refined_2_pos,w2v_refined_2_neg
845,,,,anxious,,sharp_deterioration,,aggravate,,
846,,,,virtually_impossible,,severe,,bad,,
847,,,,unable,,heighten,,burden,,
848,,,,jeopardise,,intensify,,challenge,,
849,,,,erode,,worsen,,closure,,
850,,,,hinder,,writedown,,contraction,,
851,,,,reinforce,,write_offs,,costly,,
852,,,,bolster,,impairment_charge,,damage,,
853,,,,hamper,,impairment,,danger,,
854,,,,imperil,,writeoffs,,deficit,,
855,,,,stifle,,unrealise_loss,,dent,,
856,,,,impede,,loss,,destabilise,,
857,,,,fatally_undermine,,writeoff,,deteriorate,,
858,,,,endanger,,markdowns,,deterioration,,
859,,,,stymie,,subprime,,deterioration,,
860,,,,destabilise,,redemptions,,difficult,,
861,,,,underpin,,capital_raisings,,discourage,,
862,,,,exacerbate,,rating_downgrade,,downgrade,,
863,,,,undermine,,divestments,,drag,,
864,,,,disquiet,,goodwill_impairment,,erode,,
865,,,,anxiety,,writedowns,,erosion,,
866,,,,nervousness,,abrupt,,exacerbate,,
867,,,,unhappiness,,adverse,,expose,,
868,,,,uneasiness,,adversely,,fear,,
869,,,,wariness,,aggravate,,force,,
870,,,,apprehension,,bad,,fragility,,
871,,,,dissatisfaction,,burden,,gloomy,,
872,,,,scepticism,,challenge,,hurt,,
873,,,,frustration,,closure,,illiquid,,
874,,,,misgiving,,contraction,,impairment,,
875,,,,discontent,,costly,,inability,,
876,,,,irritation,,damage,,jeopardise,,
877,,,,anger,,danger,,lose,,
878,,,,concern,,deficit,,negative,,
879,,,,unease,,dent,,pose,,
880,,,,thanexpected,,destabilise,,question,,
881,,,,unusually,,deteriorate,,repercussion,,
882,,,,surprisingly,,deterioration,,risky,,
883,,,,unexpected,,deterioration,,severely,,
884,,,,noticeably,,difficult,,shortfall,,
885,,,,exceptionally,,discourage,,spiral,,
886,,,,after,,downgrade,,squeeze,,
887,,,,unprecedentedly,,drag,,stagnate,,
888,,,,alarmingly,,erode,,strain,,
889,,,,persistently,,erosion,,stress,,
890,,,,sharply,,exacerbate,,struggle,,
891,,,,firstquarter,,expose,,suffer,,
892,,,,month_onmonth,,fear,,threaten,,
893,,,,unspectacular,,force,,turbulent,,
894,,,,quarterly,,fragility,,unable,,
895,,,,unexpectedly,,gloomy,,undermine,,
896,,,,susceptible,,hurt,,unease,,
897,,,,expose,,illiquid,,unexpectedly,,
898,,,,prone,,impairment,,vulnerable,,
899,,,,resistant,,inability,,weakness,,
900,,,,heavily_expose,,jeopardise,,worsen,,
901,,,,likely,,lose,,writedowns,,
902,,,,resilient,,negative,,,,
903,,,,problematic,,pose,,,,
904,,,,sensitive,,question,,,,
905,,,,fragile,,repercussion,,,,
906,,,,immune,,risky,,,,
907,,,,unstable,,severely,,,,
908,,,,unattractive,,shortfall,,,,
909,,,,unlikely,,spiral,,,,
910,,,,impervious,,squeeze,,,,
911,,,,vulnerable,,stagnate,,,,
912,,,,strength,,strain,,,,
913,,,,sluggishness,,stress,,,,
914,,,,deterioration,,struggle,,,,
915,,,,softness,,suffer,,,,
916,,,,slowdown,,threaten,,,,
917,,,,weaken,,turbulent,,,,
918,,,,buoyancy,,unable,,,,
919,,,,malaise,,undermine,,,,
920,,,,resilience,,unease,,,,
921,,,,overvaluation,,unexpectedly,,,,
922,,,,fragility,,vulnerable,,,,
923,,,,underperformance,,weakness,,,,
924,,,,firmness,,worsen,,,,
925,,,,weak,,writedowns,,,,
926,,,,turbulence,,,,,,
927,,,,weakness,,,,,,
928,,,,deteriorate,,,,,,
929,,,,aggravate,,,,,,
930,,,,exacerbate,,,,,,
931,,,,deterioration,,,,,,
932,,,,weaken,,,,,,
933,,,,deepen,,,,,,
934,,,,dire,,,,,,
935,,,,depress,,,,,,
936,,,,rapid_deterioration,,,,,,
937,,,,sharp_deterioration,,,,,,
938,,,,severe,,,,,,
939,,,,heighten,,,,,,
940,,,,intensify,,,,,,
941,,,,stabilise,,,,,,
942,,,,improve,,,,,,
943,,,,worsen,,,,,,
944,,,,writedown,,,,,,
945,,,,write_offs,,,,,,
946,,,,impairment_charge,,,,,,
947,,,,impairment,,,,,,
948,,,,writeoffs,,,,,,
949,,,,unrealise_loss,,,,,,
950,,,,loss,,,,,,
951,,,,writeoff,,,,,,
952,,,,markdowns,,,,,,
953,,,,subprime,,,,,,
954,,,,redemptions,,,,,,
955,,,,capital_raisings,,,,,,
956,,,,rating_downgrade,,,,,,
957,,,,divestments,,,,,,
958,,,,goodwill_impairment,,,,,,
959,,,,writedowns,,,,,,
960,,,,abrupt,,,,,,
961,,,,adverse,,,,,,
962,,,,adversely,,,,,,
963,,,,aggravate,,,,,,
964,,,,bad,,,,,,
965,,,,burden,,,,,,
966,,,,challenge,,,,,,
967,,,,closure,,,,,,
968,,,,contraction,,,,,,
969,,,,costly,,,,,,
970,,,,damage,,,,,,
971,,,,danger,,,,,,
972,,,,deficit,,,,,,
973,,,,dent,,,,,,
974,,,,destabilise,,,,,,
975,,,,deteriorate,,,,,,
976,,,,deterioration,,,,,,
977,,,,deterioration,,,,,,
978,,,,difficult,,,,,,
979,,,,discourage,,,,,,
980,,,,downgrade,,,,,,
981,,,,drag,,,,,,
982,,,,erode,,,,,,
983,,,,erosion,,,,,,
984,,,,exacerbate,,,,,,
985,,,,expose,,,,,,
986,,,,fear,,,,,,
987,,,,force,,,,,,
988,,,,fragility,,,,,,
989,,,,gloomy,,,,,,
990,,,,hurt,,,,,,
991,,,,illiquid,,,,,,
992,,,,impairment,,,,,,
993,,,,inability,,,,,,
994,,,,jeopardise,,,,,,
995,,,,lose,,,,,,
996,,,,negative,,,,,,
997,,,,pose,,,,,,
998,,,,question,,,,,,
999,,,,repercussion,,,,,,
1000,,,,risky,,,,,,
1001,,,,severely,,,,,,
1002,,,,shortfall,,,,,,
1003,,,,spiral,,,,,,
1004,,,,squeeze,,,,,,
1005,,,,stagnate,,,,,,
1006,,,,strain,,,,,,
1007,,,,stress,,,,,,
1008,,,,struggle,,,,,,
1009,,,,suffer,,,,,,
1010,,,,threaten,,,,,,
1011,,,,turbulent,,,,,,
1012,,,,unable,,,,,,
1013,,,,undermine,,,,,,
1014,,,,unease,,,,,,
1015,,,,unexpectedly,,,,,,
1016,,,,vulnerable,,,,,,
1017,,,,weakness,,,,,,
1018,,,,worsen,,,,,,
1019,,,,writedowns,,,,,,
